Data,Hora,Temperatura,Orvalho,Max,Min,O_max,O_min,U_max,U_min,Umidade
20240320,0,23.9,20.9,24.2,23.8,21.4,20.9,86.0,83.0,84.0
20240320,100,23.7,20.6,23.9,23.6,21.0,20.5,84.0,83.0,83.0
20240320,200,23.4,20.5,23.7,23.2,20.6,20.2,84.0,82.0,84.0
20240320,300,23.5,20.5,23.5,23.1,20.6,20.2,85.0,83.0,83.0
20240320,400,22.9,20.4,23.5,22.9,20.6,20.3,86.0,83.0,86.0
20240320,500,22.5,20.4,22.9,22.5,20.7,20.3,88.0,86.0,88.0
20240320,600,22.2,20.3,22.5,22.2,20.5,20.3,89.0,88.0,89.0
20240320,700,22.1,20.4,22.3,22.1,20.5,20.2,90.0,89.0,90.0
20240320,800,22.1,20.5,22.2,22.0,20.5,20.3,90.0,90.0,90.0
20240320,900,22.0,20.4,22.2,21.9,20.6,20.3,91.0,90.0,91.0
20240320,1000,22.8,20.9,22.8,21.9,20.9,20.3,91.0,89.0,89.0
20240320,1100,24.8,20.6,24.9,22.8,21.6,20.5,89.0,78.0,78.0
20240320,1200,25.9,20.2,26.4,24.7,21.4,19.5,78.0,69.0,71.0
20240320,1300,26.3,20.0,26.6,25.7,20.2,19.6,71.0,67.0,68.0
20240320,1400,28.4,20.0,28.5,26.2,21.2,19.7,69.0,61.0,61.0
20240320,1500,29.6,20.4,29.6,28.1,20.6,19.3,62.0,55.0,58.0
20240320,1600,31.0,18.1,31.6,29.6,21.0,18.1,58.0,46.0,46.0
20240320,1700,30.6,18.5,31.7,30.1,19.5,18.2,51.0,46.0,49.0
20240320,1800,31.6,18.7,31.9,30.4,19.7,17.8,51.0,45.0,47.0
20240320,1900,32.3,17.9,32.5,31.1,19.0,17.1,47.0,41.0,43.0
20240320,2000,30.4,21.2,32.5,30.3,21.2,17.3,58.0,41.0,58.0
20240320,2100,27.0,21.7,30.4,27.0,21.8,21.1,73.0,58.0,73.0
20240320,2200,26.6,20.4,27.0,26.5,21.6,20.4,73.0,69.0,69.0
20240320,2300,26.1,19.9,26.6,26.0,20.4,19.9,71.0,69.0,69.0
20240321,0,25.8,19.9,26.3,25.7,20.0,19.7,70.0,68.0,70.0
20240321,100,25.6,20.2,25.8,25.4,20.3,19.8,72.0,70.0,72.0
20240321,200,24.9,20.1,25.6,24.9,20.2,19.9,75.0,72.0,74.0
20240321,300,24.1,19.7,24.9,24.1,20.0,19.5,77.0,74.0,77.0
20240321,400,24.1,20.0,24.3,23.7,20.3,19.7,79.0,77.0,78.0
20240321,500,23.6,20.5,24.1,23.6,20.6,19.8,83.0,78.0,83.0
20240321,600,24.7,19.8,24.7,23.4,20.5,19.8,83.0,74.0,74.0
20240321,700,24.0,19.6,24.7,24.0,19.7,19.4,76.0,72.0,76.0
20240321,800,24.0,19.5,24.1,23.9,19.6,19.4,77.0,76.0,76.0
20240321,900,23.9,19.5,24.0,23.8,19.6,19.4,77.0,76.0,76.0
20240321,1000,24.2,19.5,24.2,23.9,19.5,19.4,76.0,75.0,75.0
20240321,1100,25.7,19.7,25.8,24.1,19.9,19.5,75.0,69.0,69.0
20240321,1200,26.8,19.9,26.8,25.6,20.1,19.4,70.0,66.0,66.0
20240321,1300,28.0,20.0,28.1,26.7,20.4,19.7,66.0,62.0,62.0
20240321,1400,28.4,19.3,29.2,28.0,20.3,19.3,62.0,57.0,58.0
20240321,1500,29.8,19.6,30.4,28.3,20.0,19.1,59.0,53.0,54.0
20240321,1600,30.6,18.7,31.2,29.7,19.6,18.2,54.0,47.0,49.0
20240321,1700,31.0,18.6,31.3,30.3,19.6,18.1,51.0,47.0,47.0
20240321,1800,31.1,18.2,31.8,30.8,19.1,17.8,48.0,45.0,46.0
20240321,1900,31.6,18.5,32.1,31.0,19.1,18.0,48.0,44.0,46.0
20240321,2000,30.8,18.4,31.8,30.7,19.3,17.9,49.0,45.0,48.0
20240321,2100,30.1,18.7,31.4,30.1,18.9,18.4,50.0,47.0,50.0
20240321,2200,29.5,19.3,30.1,29.4,19.4,18.6,55.0,50.0,54.0
20240321,2300,27.9,17.6,29.5,27.9,19.4,17.6,56.0,52.0,54.0
20240322,0,24.5,19.3,27.9,24.5,19.5,17.7,73.0,54.0,73.0
20240322,100,23.2,20.6,24.5,23.0,20.6,19.3,85.0,73.0,85.0
20240322,200,23.2,20.3,23.2,23.0,20.6,20.1,85.0,83.0,84.0
20240322,300,23.1,20.5,23.4,23.1,20.6,20.2,85.0,83.0,85.0
20240322,400,23.3,20.3,23.4,23.1,20.6,20.3,85.0,83.0,83.0
20240322,500,23.0,20.1,23.3,23.0,20.3,20.0,84.0,83.0,84.0
20240322,600,22.5,20.2,23.0,22.5,20.2,19.9,87.0,84.0,87.0
20240322,700,22.3,20.2,22.5,22.2,20.5,20.1,90.0,87.0,88.0
20240322,800,21.3,19.2,22.3,21.3,20.1,19.2,89.0,88.0,88.0
20240322,900,20.4,18.6,21.3,20.4,19.3,18.6,90.0,87.0,90.0
20240322,1000,20.4,19.0,20.5,20.2,19.0,18.7,91.0,90.0,91.0
20240322,1100,20.7,19.2,20.8,20.4,19.4,18.9,92.0,91.0,91.0
20240322,1200,20.7,19.3,20.8,20.6,19.5,19.0,92.0,91.0,91.0
20240322,1300,20.8,19.0,20.9,20.7,19.5,18.9,92.0,89.0,89.0
20240322,1400,20.4,18.5,21.0,20.4,19.2,18.4,90.0,88.0,89.0
20240322,1500,20.3,18.3,20.5,20.2,18.7,18.2,90.0,88.0,88.0
20240322,1600,20.4,17.3,20.5,20.2,18.2,17.3,88.0,83.0,83.0
20240322,1700,21.7,16.9,21.7,20.3,17.3,16.1,83.0,74.0,74.0
20240322,1800,20.6,16.8,21.7,20.2,17.7,16.4,82.0,74.0,79.0
20240322,1900,19.8,16.2,20.6,19.5,16.9,15.7,80.0,76.0,80.0
20240322,2000,19.1,15.8,20.0,18.9,16.2,15.6,82.0,77.0,81.0
20240322,2100,18.8,16.3,19.1,18.7,16.3,15.8,85.0,81.0,85.0
20240322,2200,18.2,16.2,18.8,18.2,16.6,16.2,89.0,85.0,88.0
20240322,2300,17.7,15.9,18.2,17.7,16.2,15.9,90.0,88.0,89.0
20240323,0,17.4,15.4,17.7,17.4,15.9,15.4,89.0,88.0,88.0
20240323,100,17.4,14.8,17.4,17.3,15.3,14.6,88.0,84.0,84.0
20240323,200,17.6,15.0,17.7,17.4,15.1,14.7,85.0,84.0,85.0
20240323,300,17.5,15.6,17.7,17.2,15.6,15.1,89.0,85.0,89.0
20240323,400,17.9,14.9,18.0,17.5,15.7,14.9,89.0,83.0,83.0
20240323,500,17.9,14.4,18.0,17.9,14.9,14.4,83.0,80.0,80.0
20240323,600,17.5,14.7,18.0,17.5,14.7,14.3,83.0,79.0,83.0
20240323,700,17.2,15.5,17.6,16.9,15.5,14.7,90.0,83.0,90.0
20240323,800,17.3,15.3,17.3,17.1,15.5,15.2,90.0,88.0,88.0
20240323,900,17.3,15.4,17.3,17.0,15.6,15.3,90.0,88.0,89.0
20240323,1000,17.7,15.3,17.7,17.3,15.5,15.3,89.0,85.0,85.0
20240323,1100,17.8,14.6,18.0,17.7,15.3,14.6,85.0,81.0,82.0
20240323,1200,18.3,14.0,18.3,17.7,14.9,13.8,83.0,76.0,76.0
20240323,1300,18.5,14.8,18.8,18.3,14.8,13.8,79.0,74.0,79.0
20240323,1400,18.3,15.5,18.5,18.1,15.6,14.6,84.0,78.0,84.0
20240323,1500,18.1,16.2,18.3,17.9,16.5,15.4,90.0,83.0,89.0
20240323,1600,17.9,16.1,18.4,17.8,16.7,15.9,90.0,88.0,89.0
20240323,1700,18.1,16.2,18.3,17.7,16.4,15.8,89.0,88.0,89.0
20240323,1800,18.2,16.3,18.4,18.0,16.6,16.0,89.0,88.0,89.0
20240323,1900,17.5,15.7,18.2,17.5,16.3,15.6,90.0,88.0,89.0
20240323,2000,17.2,15.6,17.5,17.2,15.7,15.4,91.0,89.0,91.0
20240323,2100,17.1,15.6,17.3,17.1,15.7,15.6,91.0,91.0,91.0
20240323,2200,17.1,15.7,17.2,17.1,15.7,15.6,92.0,91.0,92.0
20240323,2300,16.9,15.4,17.1,16.9,15.7,15.4,92.0,91.0,91.0
20240324,0,16.8,15.1,16.9,16.8,15.4,15.1,91.0,90.0,90.0
20240324,100,16.7,15.2,16.8,16.6,15.2,15.0,91.0,90.0,91.0
20240324,200,16.7,15.3,16.8,16.6,15.5,15.2,92.0,91.0,92.0
20240324,300,16.7,15.4,16.7,16.6,15.4,15.3,92.0,92.0,92.0
20240324,400,16.7,15.5,16.8,16.7,15.5,15.4,92.0,92.0,92.0
20240324,500,16.6,15.4,16.8,16.6,15.5,15.4,93.0,92.0,93.0
20240324,600,16.6,15.5,16.7,16.6,15.5,15.4,93.0,93.0,93.0
20240324,700,16.6,15.6,16.7,16.5,15.6,15.4,94.0,93.0,94.0
20240324,800,16.8,15.9,16.8,16.6,15.9,15.6,94.0,94.0,94.0
20240324,900,16.7,15.8,16.9,16.7,15.9,15.7,94.0,94.0,94.0
20240324,1000,16.9,16.4,16.9,16.7,16.4,15.8,97.0,94.0,97.0
20240324,1100,17.0,16.7,17.0,16.8,16.7,16.4,98.0,97.0,98.0
20240324,1200,17.6,17.2,17.6,17.0,17.2,16.6,98.0,97.0,97.0
20240324,1300,18.8,17.2,19.1,17.6,18.5,17.0,97.0,90.0,90.0
20240324,1400,20.0,17.0,20.0,18.7,17.5,16.7,90.0,83.0,83.0
20240324,1500,21.9,17.3,22.0,19.5,17.9,16.4,84.0,75.0,75.0
20240324,1600,21.5,17.0,22.0,21.0,17.5,16.3,77.0,72.0,75.0
20240324,1700,22.9,17.3,23.0,21.6,17.7,16.7,76.0,69.0,71.0
20240324,1800,23.9,17.3,23.9,22.3,17.5,16.5,72.0,67.0,67.0
20240324,1900,23.3,17.0,24.5,22.9,17.9,16.4,70.0,63.0,68.0
20240324,2000,22.6,17.1,23.3,22.5,17.5,16.7,72.0,68.0,71.0
20240324,2100,20.8,17.5,22.6,20.7,17.7,16.9,82.0,70.0,82.0
20240324,2200,20.0,17.1,20.8,20.0,17.5,17.1,83.0,81.0,83.0
20240324,2300,19.5,17.6,20.0,19.4,17.6,17.1,89.0,83.0,89.0
20240325,0,19.6,17.4,19.6,19.5,17.6,17.3,89.0,87.0,87.0
20240325,100,19.5,17.2,19.7,19.5,17.3,17.1,87.0,86.0,86.0
20240325,200,19.4,17.1,19.6,19.4,17.3,17.1,87.0,86.0,87.0
20240325,300,19.2,17.0,19.4,19.2,17.2,17.0,87.0,87.0,87.0
