Data,Hora,Temperatura,Orvalho,Max,Min,O_max,O_min,U_max,U_min,Umidade
20230922,0,20.4,17.2,20.6,20.4,17.5,17.2,83.0,82.0,82.0
20230922,100,20.3,17.3,20.5,20.2,17.4,17.1,83.0,82.0,83.0
20230922,200,20.4,17.3,20.4,20.2,17.4,17.1,83.0,82.0,83.0
20230922,300,20.0,17.0,20.4,20.0,17.4,17.0,83.0,82.0,83.0
20230922,400,20.0,17.2,20.0,19.8,17.3,17.0,84.0,83.0,84.0
20230922,500,19.8,17.1,20.0,19.7,17.3,17.0,85.0,84.0,85.0
20230922,600,19.7,17.0,20.0,19.6,17.2,16.8,85.0,84.0,84.0
20230922,700,19.5,16.9,19.8,19.5,17.1,16.8,85.0,84.0,85.0
20230922,800,19.0,16.6,19.7,19.0,17.0,16.6,86.0,84.0,86.0
20230922,900,18.7,16.4,19.2,18.7,16.8,16.3,86.0,85.0,86.0
20230922,1000,20.6,17.4,20.6,18.7,17.4,16.4,87.0,82.0,82.0
20230922,1100,23.5,16.5,23.5,20.5,17.9,16.3,82.0,65.0,65.0
20230922,1200,27.0,15.4,27.0,23.5,17.1,15.3,65.0,49.0,49.0
20230922,1300,29.0,11.7,29.0,27.0,15.5,11.1,49.0,33.0,35.0
20230922,1400,31.0,5.3,31.3,29.0,13.1,5.3,36.0,20.0,20.0
20230922,1500,31.5,11.0,32.6,30.7,11.0,4.3,29.0,18.0,28.0
20230922,1600,32.8,10.6,33.3,31.5,11.2,9.3,28.0,24.0,26.0
20230922,1700,33.1,10.3,34.1,32.2,11.8,10.0,27.0,23.0,25.0
20230922,1800,33.9,10.6,34.5,32.6,11.8,9.7,26.0,23.0,24.0
20230922,1900,32.7,10.3,34.0,32.4,11.5,10.0,27.0,24.0,25.0
20230922,2000,30.3,11.8,33.1,30.3,11.8,10.0,32.0,25.0,32.0
20230922,2100,26.3,12.8,30.3,26.3,13.6,10.8,45.0,31.0,43.0
20230922,2200,24.9,14.8,26.3,24.9,14.9,12.8,54.0,43.0,54.0
20230922,2300,22.9,16.6,24.9,22.9,16.7,14.8,68.0,54.0,68.0
20230923,0,21.5,16.3,22.9,21.5,16.9,16.1,72.0,68.0,72.0
20230923,100,21.0,15.6,21.5,21.0,16.3,15.5,73.0,70.0,71.0
20230923,200,20.9,15.6,21.0,20.7,15.9,15.6,73.0,71.0,72.0
20230923,300,21.1,15.8,21.1,20.7,15.9,15.3,73.0,71.0,72.0
20230923,400,20.9,15.6,21.2,20.8,15.8,15.6,73.0,71.0,71.0
20230923,500,20.8,15.6,20.9,20.5,15.7,15.5,73.0,71.0,72.0
20230923,600,20.9,15.6,21.0,20.7,15.8,15.6,73.0,72.0,72.0
