min,max
16.0,22.2
15.5,24.7
14.0,24.3
16.3,24.5
17.5,25.8
18.4,26.7
18.0,24.9
18.1,27.4
16.8,26.7
18.7,26.0
18.3,25.5
16.5,24.9
19.3,26.2
14.8,22.6
10.9,15.1
7.4,14.5
6.7,14.0
7.3,18.6
10.4,19.3
10.0,22.4
10.2,22.9
10.3,23.8
12.7,24.8
13.7,26.0
14.7,23.2
10.2,18.9
9.2,16.9
10.7,19.6
11.6,22.5
12.4,22.4
11.7,23.5
15.2,25.8
14.4,25.7
14.7,26.8
15.4,26.0
16.0,26.8
14.8,26.2
16.4,23.5
14.8,23.2
13.4,25.9
12.7,24.8
12.4,27.3
14.9,28.5
10.6,13.9
9.6,11.7
10.6,17.7
13.3,25.1
14.2,25.6
15.1,27.0
15.9,27.7
16.6,29.0
17.0,24.4
16.7,29.5
14.2,23.2
10.7,13.8
10.4,20.8
11.1,24.1
12.3,26.3
16.2,28.4
14.5,19.8
14.0,16.5
13.9,19.1
13.7,18.9
13.3,21.8
13.1,18.6
12.4,20.8
12.9,24.2
13.9,24.9
15.8,22.5
13.5,26.9
15.0,28.8
16.8,32.0
16.5,19.8
15.6,19.2
15.5,22.7
14.4,18.3
12.7,14.7
12.6,17.7
14.9,28.5
17.8,31.4
18.1,31.5
18.6,32.7
19.9,33.6
21.3,34.8
17.4,25.6
17.3,25.1
18.0,29.7
19.1,33.8
19.9,33.3
19.4,33.9
17.8,31.7
19.6,27.3
16.1,20.2
