min,max
18.4,30.1
19.6,28.3
20.0,29.8
20.7,29.6
20.9,31.9
20.8,29.5
20.6,28.8
20.7,29.4
20.7,29.0
19.8,28.9
19.4,26.9
19.7,25.8
19.2,25.3
19.1,27.0
19.4,23.0
20.1,26.5
17.2,21.0
13.2,17.3
13.2,18.9
13.9,19.4
14.5,19.2
14.2,20.2
14.1,22.8
14.5,23.7
15.8,24.5
16.4,25.8
17.7,26.4
17.9,27.8
18.3,28.4
17.1,26.6
16.0,28.3
17.5,28.5
19.2,29.4
20.8,29.2
18.7,26.6
18.0,22.9
20.2,29.6
19.7,28.9
18.6,24.8
18.2,23.2
17.0,21.6
16.1,22.6
14.3,23.4
14.4,25.6
15.1,27.8
16.8,27.4
18.4,27.0
17.4,27.7
17.2,30.4
17.1,23.4
15.1,17.8
13.3,18.8
13.8,21.2
12.6,17.9
11.6,19.8
13.9,20.6
15.0,24.6
14.1,26.0
15.9,20.7
16.2,22.1
16.3,20.2
12.9,17.8
13.2,19.0
14.4,22.4
15.2,20.9
15.1,22.9
17.2,25.5
17.9,22.5
15.3,19.6
14.6,19.4
15.0,23.2
15.2,25.4
13.5,22.4
13.0,15.9
12.7,19.8
14.2,20.3
14.4,22.3
15.2,21.5
10.8,19.9
8.9,20.8
9.3,19.4
11.8,19.9
14.0,19.4
13.0,16.4
11.5,15.3
9.0,17.9
10.8,20.0
10.2,22.7
11.7,23.9
16.5,26.0
14.0,26.3
14.6,26.9
19.3,27.2
