min,max
14.9,25.6
15.7,31.9
14.0,19.7
12.4,18.3
11.6,24.6
11.8,25.0
14.3,22.8
14.9,31.1
16.7,32.5
18.8,33.3
16.9,25.8
16.8,23.5
15.5,21.9
15.3,29.4
19.2,28.6
17.2,29.3
16.9,30.3
18.9,23.8
17.8,27.5
19.2,24.2
18.4,25.5
18.7,23.8
20.3,23.0
15.9,20.2
15.7,17.4
14.9,18.1
13.6,20.9
12.2,21.7
13.9,18.9
12.1,22.9
13.8,25.0
14.7,27.2
17.1,29.3
18.5,29.6
18.5,26.1
19.5,29.6
21.1,30.4
18.8,32.1
14.6,24.9
12.7,17.3
12.2,19.6
11.1,19.85
12.5,20.4
13.5,24.2
13.2,29.2
15.5,27.1
16.1,27.5
14.2,28.1
16.2,29.9
20.0,30.8
19.5,28.4
18.7,25.1
18.5,24.8
17.8,21.4
17.1,19.6
14.7,18.6
13.7,21.1
12.8,21.7
14.3,20.0
14.0,25.9
16.6,29.6
19.8,23.5
17.0,21.6
14.6,27.6
16.3,28.4
18.8,29.6
18.2,26.3
18.9,26.7
17.6,27.7
18.2,28.7
19.0,27.2
14.6,18.9
15.0,21.4
16.2,26.3
18.1,26.7
19.0,24.7
19.1,28.0
19.2,28.8
19.6,24.9
17.3,20.1
15.1,25.5
15.3,29.4
17.5,31.8
18.9,28.7
18.5,26.5
19.7,28.2
20.5,29.8
19.5,29.0
19.9,29.2
20.0,30.6
