min,max
17.8,24.3
19.1,25.2
19.8,26.7
20.2,24.3
20.3,23.3
20.4,23.7
20.8,28.4
20.3,26.0
19.8,25.8
19.2,28.6
18.3,30.4
19.8,29.1
20.0,23.2
19.3,29.3
19.4,24.8
17.8,26.1
18.0,26.0
21.0,23.9
20.7,28.8
21.3,25.7
19.8,24.3
18.2,21.8
17.9,25.0
18.5,29.3
19.3,27.8
20.9,29.0
21.3,27.1
21.9,28.3
21.0,26.9
19.8,26.3
20.1,25.8
20.2,31.0
21.1,27.9
19.6,28.2
18.0,28.2
19.1,31.3
19.7,29.3
20.6,30.3
20.4,26.4
20.9,27.8
22.0,29.6
18.9,25.6
17.3,23.0
15.9,25.0
16.8,27.6
17.2,26.8
18.5,29.8
18.9,31.8
18.6,31.0
19.2,29.5
21.4,30.1
21.7,29.7
20.6,32.0
20.7,32.2
21.1,31.1
19.5,31.2
19.3,27.8
18.7,24.7
20.7,28.5
21.1,30.9
20.4,31.0
21.4,31.9
19.8,30.8
19.9,31.0
20.5,32.3
20.7,31.9
20.2,31.5
20.4,31.2
21.9,31.3
21.2,30.3
21.0,30.0
21.0,30.8
19.2,28.5
19.0,29.2
19.5,27.0
18.8,26.1
19.4,25.7
20.1,23.5
17.1,26.7
18.0,28.0
18.5,25.3
17.3,29.0
20.1,27.8
20.5,31.4
20.5,31.8
22.0,33.5
23.6,32.1
21.8,32.8
23.4,34.3
