Anos,Outono_min,Outono_max,Inverno_min,Inverno_max,Primavera_min,Primavera_max,Verao_min,Verao_max
2006,,,14.5,24.22,17.09,25.28,20.3,27.31
2007,16.18,24.97,13.84,23.95,16.98,25.77,19.85,28.32
2008,15.72,23.64,14.02,23.01,16.82,24.88,18.73,26.58
2009,15.79,23.46,14.6,22.45,18.21,26.12,19.93,27.84
2010,15.91,23.79,14.17,23.68,17.06,25.51,19.98,27.77
2011,15.67,23.71,13.68,23.48,16.53,25.57,19.94,27.92
2012,16.43,23.7,14.79,24.38,17.76,27.0,19.38,28.0
2013,15.97,23.61,13.75,23.57,17.08,25.49,19.47,27.44
2014,16.49,24.23,14.99,24.02,17.7,27.4,20.68,30.55
2015,16.75,24.13,14.9,24.05,18.99,27.52,20.49,28.9
2016,16.54,24.79,14.14,23.47,16.97,25.96,20.17,28.26
2017,16.25,23.55,13.98,23.66,17.51,26.88,20.27,28.2
2018,16.63,24.97,14.36,23.56,17.75,26.29,19.65,27.92
2019,17.34,25.48,14.55,24.08,17.77,26.66,20.22,29.29
2020,15.69,24.57,14.88,24.68,17.79,27.53,18.98,27.06
2021,16.19,24.53,13.86,24.12,16.63,25.25,19.68,28.41
2022,15.89,23.88,13.87,23.63,16.6,25.58,19.68,28.21
2023,16.23,24.59,15.39,25.31,19.1,28.44,19.5,28.1
2024,18.01,27.02,14.82,25.5,18.21,27.55,20.09,29.18
2025,16.35,24.78,13.19,22.46,,,20.42,29.82
